                     h          sim 3 pontos       frente 2 pontos         tras 2 pontos          sim 5 pontos      seg sim 5 pontos          terc antisim
         0.50000000000         1.11086355994         3.01507091494         0.79334379507         0.85566357283         0.83699643458        24.45995428338

         0.20000000000         0.15552888261         0.76144715230         0.45038938708         0.01650938682         0.01745175812         3.06904351275

         0.10000000000         0.03813940437         0.33097358762         0.25469477889         0.00099042171         0.00105917129         0.74119874620

         0.05000000000         0.00948889914         0.15465899914         0.13568120086         0.00006126927         0.00006571391         0.18370727997

         0.01000000000         0.00037896937         0.02933349419         0.02857555544         0.00000009771         0.00000010490         0.00732802977

         0.00500000000         0.00009473776         0.01457075928         0.01438128375         0.00000000611         0.00000000655         0.00183184934

         0.00100000000         0.00000378945         0.00289891434         0.00289133544         0.00000000001         0.00000000000         0.00007323031

         0.00050000000         0.00000094736         0.00144850857         0.00144661384         0.00000000000         0.00000000047         0.00001916245

         0.00010000000         0.00000003789         0.00028955006         0.00028947427         0.00000000000         0.00000000098         0.00002324807

         0.00005000000         0.00000000947         0.00014476555         0.00014474661         0.00000000000         0.00000002041         0.00043958170

         0.00001000000         0.00000000038         0.00002895159         0.00002895084         0.00000000000         0.00000047561         0.05063067743

         0.00000100000         0.00000000002         0.00000289511         0.00000289515         0.00000000003         0.00000937762        32.77445432826

         0.00000010000         0.00000000030         0.00000028919         0.00000028979         0.00000000049         0.00320564322        22.73669690300

         0.00000001000         0.00000000331         0.00000003661         0.00000003000         0.00000000285         1.19491003752  55511173.96795472503

                exatos         1.37991587825         1.37991587825         1.37991587825         1.37991587825         5.79024315908        22.73669690300
